gsis_id,display_name,position,fantasy_ppg,n_games,replacement_ppg,vor,boom_prob,bust_prob,ex_value
00-0036264,Jordan Love,QB,19.142666666666667,15,21.520000000000003,-2.377333333333336,0.21385312458552896,0.786146875414471,-1.6870154471712486
00-0040189,Oronde Gadsden II,TE,10.393333333333334,15,12.847058823529412,-2.453725490196078,,,
00-0039910,Jayden Daniels,QB,19.04,7,21.520000000000003,-2.480000000000004,0.2603437862768016,0.7396562137231983,-1.6396102578984884
00-0039373,Audric Estimé,RB,9.62,5,12.129411764705884,-2.5094117647058845,0.26343935197354745,0.7365606480264526,-2.0301071084387186
00-0039893,Brian Thomas Jr.,WR,9.914285714285715,14,12.479999999999999,-2.565714285714284,0.2399074402225673,0.7600925597774327,-2.116607557617638
00-0039916,Ricky Pearsall,WR,9.844444444444445,9,12.479999999999999,-2.6355555555555537,0.31253849130082445,0.6874615086991755,-2.0504834998404102
00-0039793,AJ Barner,TE,10.194117647058825,17,12.847058823529412,-2.6529411764705877,,,
00-0038129,Cade Otton,TE,10.113333333333333,15,12.847058823529412,-2.733725490196079,,,
00-0039146,Jayden Reed,WR,9.7,5,12.479999999999999,-2.7799999999999994,0.2132152760161608,0.7867847239838393,-2.3808610032977464
00-0039847,Theo Johnson,TE,10.020000000000001,15,12.847058823529412,-2.827058823529411,,,
00-0038994,Jordan Addison,WR,9.65,14,12.479999999999999,-2.8299999999999983,0.19139394091340778,0.8086060590865922,-2.471710542610099
00-0035228,Kyler Murray,QB,18.556,5,21.520000000000003,-2.964000000000002,0.20954072636573848,0.7904592736342615,-2.2876025352913985
00-0038563,Tre Tucker,WR,9.511764705882353,17,12.479999999999999,-2.9682352941176458,0.18959970667182388,0.8104002933281761,-2.6133046432279916
00-0033906,Alvin Kamara,RB,9.154545454545454,11,12.129411764705884,-2.9748663101604294,0.2108085994848504,0.7891914005151496,-2.591318664156522
00-0039391,Kimani Vidal,RB,9.069230769230769,13,12.129411764705884,-3.0601809954751147,0.23951430921920508,0.7604856907807949,-2.6244058434662905
00-0040583,Woody Marks,RB,9.06875,16,12.129411764705884,-3.060661764705884,0.24769531656457355,0.7523046834354264,-2.610001991685751
00-0033921,Chris Godwin Jr.,WR,9.222222222222221,9,12.479999999999999,-3.257777777777777,0.08053230762615278,0.9194676923738472,-3.1070212979016194
00-0039921,Trey Benson,RB,8.85,4,12.129411764705884,-3.279411764705884,0.34199490575935626,0.6580050942406437,-2.6571822096978317
00-0039163,C.J. Stroud,QB,18.181428571428572,14,21.520000000000003,-3.3385714285714307,0.2592904128245066,0.7407095871754934,-2.5015819759739233
00-0040236,Kyle Monangai,RB,8.629411764705884,17,12.129411764705884,-3.5,0.25349208483594243,0.7465079151640576,-3.0387935185896646
00-0033885,David Njoku,TE,9.345454545454546,11,12.847058823529412,-3.5016042780748666,,,
00-0039032,Tyjae Spears,RB,8.592307692307692,13,12.129411764705884,-3.5371040723981917,0.26678870516666575,0.7332112948333342,-3.051705563527311
00-0033923,Kareem Hunt,RB,8.552941176470588,17,12.129411764705884,-3.5764705882352956,0.11503009751690171,0.8849699024830983,-3.3671834755177796
00-0038608,Kayshon Boutte,WR,8.864285714285714,14,12.479999999999999,-3.6157142857142848,0.16636753539365318,0.8336324646063469,-3.304274259457366
00-0035229,T.J. Hockenson,TE,9.22,15,12.847058823529412,-3.6270588235294117,,,
00-0037256,Rachaad White,RB,8.411764705882353,17,12.129411764705884,-3.7176470588235304,0.2338348153422094,0.7661651846577906,-3.292205244792087
00-0034753,Mark Andrews,TE,9.117647058823529,17,12.847058823529412,-3.7294117647058833,,,
00-0036555,Chuba Hubbard,RB,8.360000000000001,15,12.129411764705884,-3.7694117647058825,0.20828690269789357,0.7917130973021065,-3.3904521235031853
00-0038997,Josh Downs,WR,8.65,16,12.479999999999999,-3.8299999999999983,0.19272763331184378,0.8072723666881563,-3.469213870440227
00-0040311,Theo Wease Jr.,WR,8.633333333333333,3,12.479999999999999,-3.846666666666666,0.24977216289100088,0.7502278371089991,-3.3790931777347124
00-0035662,Marquise Brown,WR,8.60625,16,12.479999999999999,-3.8737499999999994,0.09791839182191588,0.9020816081780841,-3.690446770509373
00-0040242,Jacory Croskey-Merritt,RB,8.25294117647059,17,12.129411764705884,-3.8764705882352946,0.20471731371094182,0.7952826862890582,-3.504005499230622
00-0023459,Aaron Rodgers,QB,17.63,16,21.520000000000003,-3.890000000000004,0.15297083204933132,0.8470291679506687,-3.3962101541447627
00-0037809,Chig Okonkwo,TE,8.941176470588236,17,12.847058823529412,-3.905882352941177,,,
00-0036894,Pat Freiermuth,TE,8.94,15,12.847058823529412,-3.907058823529413,,,
00-0034869,Sam Darnold,QB,17.61294117647059,17,21.520000000000003,-3.9070588235294146,0.22068092147691146,0.7793190785230886,-3.194700809001944
00-0039901,Keon Coleman,WR,8.533333333333333,12,12.479999999999999,-3.9466666666666654,0.2020162988702969,0.7979837011297031,-3.5684921551814694
00-0040735,Luther Burden III,WR,8.526666666666667,15,12.479999999999999,-3.9533333333333314,0.30212257153056893,0.6978774284694311,-3.3877598794281063
00-0036945,Justin Fields,QB,17.517777777777777,9,21.520000000000003,-4.002222222222226,0.2943325162753495,0.7056674837246505,-3.052116859685398
00-0032950,Carson Wentz,QB,17.468,5,21.520000000000003,-4.052000000000003,0.2665657974368895,0.7334342025631104,-3.1915256058737236
00-0037525,Jordan Mason,RB,8.05625,16,12.129411764705884,-4.073161764705883,0.19574699230453405,0.8042530076954659,-3.717017384001222
00-0039491,Jalen Coker,WR,8.218181818181819,11,12.479999999999999,-4.26181818181818,0.22365739708811536,0.7763426029118846,-3.843131534469228
00-0040736,Mason Taylor,TE,8.53076923076923,13,12.847058823529412,-4.316289592760182,,,
00-0039150,Bryce Young,QB,17.19,16,21.520000000000003,-4.330000000000002,0.2137397072522459,0.7862602927477541,-3.640048224989752
00-0033555,Mack Hollins,WR,8.1,14,12.479999999999999,-4.379999999999999,0.090741902282824,0.909258097717176,-4.210131158926552
00-0037157,Bam Knight,RB,7.741666666666666,12,12.129411764705884,-4.387745098039217,0.17698770163001804,0.8230122983699819,-4.065731591485308
00-0037252,Greg Dulcich,TE,8.422222222222224,9,12.847058823529412,-4.424836601307188,,,
00-0037545,Rashid Shaheed,WR,8.033333333333333,18,12.479999999999999,-4.446666666666665,0.2001280402286177,0.7998719597713824,-4.0720269753586935
00-0038611,Chris Rodriguez Jr.,RB,7.666666666666667,12,12.129411764705884,-4.462745098039217,0.17234974550244603,0.8276502544975539,-4.149169943428002
00-0033110,Tyler Higbee,TE,8.36,10,12.847058823529412,-4.487058823529413,,,
00-0036924,Michael Carter,RB,7.615384615384615,13,12.129411764705884,-4.514027149321269,0.26168801376671114,0.7383119862332889,-4.037908898391599
00-0039894,Xavier Worthy,WR,7.8500000000000005,14,12.479999999999999,-4.629999999999998,0.2753530601550981,0.7246469398449019,-4.114539071389655
00-0039405,Jawhar Jordan,RB,7.425,4,12.129411764705884,-4.704411764705884,0.3288576183624828,0.6711423816375173,-4.106084344944025
00-0040743,Tyler Shough,QB,16.723636363636363,11,21.520000000000003,-4.79636363636364,0.3667703929773772,0.6332296070226229,-3.612428807832667
00-0033881,Evan Engram,TE,7.9875,16,12.847058823529412,-4.8595588235294125,,,
00-0040130,Jayden Higgins,WR,7.617647058823529,17,12.479999999999999,-4.86235294117647,0.22679297784616056,0.7732070221538394,-4.437796486648457
00-0039410,Ryan Flournoy,WR,7.6,15,12.479999999999999,-4.879999999999999,0.2198458444791081,0.780154155520892,-4.468448579135108
00-0037263,Tyler Allgeier,RB,7.235294117647059,17,12.129411764705884,-4.894117647058825,0.16574612834148447,0.8342538716585155,-4.592557191199877
00-0039738,Blake Corum,RB,7.188235294117647,17,12.129411764705884,-4.941176470588236,0.22275745852039108,0.7772425414796089,-4.5358889298802545
00-0039855,Jalen McMillan,WR,7.475,4,12.479999999999999,-5.004999999999999,0.3102452985213908,0.6897547014786092,-4.424220801167955
00-0040648,Tory Horton,WR,7.3875,8,12.479999999999999,-5.0924999999999985,0.15976916754984505,0.840230832450155,-4.793412118346689
00-0031503,Jameis Winston,QB,16.426666666666666,3,21.520000000000003,-5.093333333333337,0.3659126599025866,0.6340873400974134,-3.9121672671677876
00-0039424,Devaughn Vele,WR,7.366666666666666,9,12.479999999999999,-5.113333333333332,0.22913888153480727,0.7708611184651928,-4.684385347100173
00-0033908,Cooper Kupp,WR,7.33125,16,12.479999999999999,-5.148749999999999,0.09269495680832607,0.9073050431916739,-4.975225040854813
00-0040170,Elic Ayomanor,WR,7.28125,16,12.479999999999999,-5.198749999999999,0.25169077121209743,0.7483092287879025,-4.727584876290952
00-0035689,Dawson Knox,TE,7.60625,16,12.847058823529412,-5.240808823529412,,,
00-0036407,Jerry Jeudy,WR,7.1000000000000005,17,12.479999999999999,-5.379999999999998,0.14457967296034976,0.8554203270396502,-5.1093468522182235
00-0037197,Isiah Pacheco,RB,6.7153846153846155,13,12.129411764705884,-5.414027149321268,0.25900182883092393,0.7409981711690761,-4.942796174865946
00-0035535,Darius Slayton,WR,7.057142857142858,14,12.479999999999999,-5.422857142857141,0.13691797717042242,0.8630820228295776,-5.16654668959411
00-0035243,Miles Sanders,RB,6.675000000000001,4,12.129411764705884,-5.454411764705883,0.18949482324450076,0.8105051767554993,-5.109642653943976
00-0040202,Devin Neal,RB,6.666666666666667,9,12.129411764705884,-5.462745098039217,0.2737955485576875,0.7262044514423125,-4.96459825586926
00-0033699,Austin Ekeler,RB,6.55,2,12.129411764705884,-5.579411764705884,0.2310821206691724,0.7689178793308276,-5.158978235747207
00-0039923,J.J. McCarthy,QB,15.937999999999999,10,21.520000000000003,-5.582000000000004,0.2575936710886453,0.7424063289113547,-4.750487629725857
00-0034975,Justice Hill,RB,6.5200000000000005,10,12.129411764705884,-5.609411764705883,0.18155289761579915,0.8184471023842008,-5.279092286867256
00-0040705,Chimere Dike,WR,6.829411764705882,17,12.479999999999999,-5.650588235294117,0.2525807681989449,0.7474192318010551,-5.177757037225692
00-0034837,Calvin Ridley,WR,6.757142857142857,7,12.479999999999999,-5.7228571428571415,0.1269901681610318,0.8730098318389682,-5.48513154805969
00-0035250,Devin Singletary,RB,6.3999999999999995,17,12.129411764705884,-5.729411764705884,0.17410841282564216,0.8258915871743578,-5.412636870076643
00-0040584,Gunnar Helm,TE,7.10625,16,12.847058823529412,-5.740808823529412,,,
00-0038104,Tyquan Thornton,WR,6.733333333333333,12,12.479999999999999,-5.746666666666665,0.17418357701407103,0.8258164229859289,-5.420595010496324
00-0035644,Noah Fant,TE,7.061538461538461,13,12.847058823529412,-5.785520361990951,,,
00-0034829,Mike Gesicki,TE,7.058333333333334,12,12.847058823529412,-5.788725490196079,,,
00-0039917,Michael Penix Jr.,QB,15.697777777777778,9,21.520000000000003,-5.822222222222225,0.3353346500294441,0.6646653499705559,-4.739761971927178
00-0039066,Michael Mayer,TE,7.023076923076923,13,12.847058823529412,-5.823981900452489,,,
00-0037231,Kevin Austin Jr.,WR,6.6,5,12.479999999999999,-5.879999999999999,0.17224128915466558,0.8277587108453344,-5.557564306702465
00-0033307,Kendrick Bourne,WR,6.578571428571429,14,12.479999999999999,-5.9014285714285695,0.1114000670489055,0.8885999329510945,-5.692887645913018
00-0039880,Malik Washington,WR,6.511764705882353,17,12.479999999999999,-5.968235294117646,0.21733391650734032,0.7826660834926596,-5.561386202415905
00-0038558,Darnell Washington,TE,6.838461538461539,13,12.847058823529412,-6.008597285067873,,,
00-0036212,Tua Tagovailoa,QB,15.407142857142858,14,21.520000000000003,-6.112857142857145,0.24158555935563414,0.7584144406443658,-5.333018957257158
00-0032385,Sterling Shepard,WR,6.3076923076923075,13,12.479999999999999,-6.172307692307691,0.0808460849930063,0.9191539150069937,-6.020963821200783
00-0035500,Greg Dortch,WR,6.258333333333334,12,12.479999999999999,-6.221666666666665,0.08972726898387082,0.9102727310161292,-6.053697219128859
00-0040719,Bhayshul Tuten,RB,5.906666666666666,15,12.129411764705884,-6.222745098039217,0.19814938503738055,0.8018506149626194,-5.862229775732971
00-0035537,Ty Johnson,RB,5.9,17,12.129411764705884,-6.229411764705883,0.17671567127503926,0.8232843287249607,-5.907893193380179
00-0034791,Nick Chubb,RB,5.886666666666668,15,12.129411764705884,-6.242745098039216,0.18934213531317265,0.8106578646868273,-5.898253789495897
00-0030565,Geno Smith,QB,15.26,15,21.520000000000003,-6.260000000000003,0.23616216811331972,0.7638378318866803,-5.4976685213302074
00-0032268,Marcus Mariota,QB,15.25,10,21.520000000000003,-6.270000000000003,0.3852775191844698,0.6147224808155303,-5.026324168072534
00-0040162,Dylan Sampson,RB,5.840000000000001,15,12.129411764705884,-6.289411764705883,0.29189755517911425,0.7081024448208857,-5.758329918724118
00-0040237,Tez Johnson,WR,6.16,15,12.479999999999999,-6.3199999999999985,0.2271235996448971,0.772876400355103,-5.8948246214647515
00-0037837,Calvin Austin III,WR,6.1571428571428575,14,12.479999999999999,-6.322857142857141,0.17067774330861993,0.82932225669138,-6.003348407383405
00-0038618,Xavier Hutchinson,WR,6.125,16,12.479999999999999,-6.354999999999999,0.2062554058247762,0.7937445941752238,-5.968889880296017
00-0035208,Olamide Zaccheaus,WR,6.057142857142858,14,12.479999999999999,-6.422857142857141,0.11533841848540974,0.8846615815145903,-6.206943623452454
00-0038619,Andrei Iosivas,WR,5.993333333333334,15,12.479999999999999,-6.486666666666665,0.2217676793587705,0.7782323206412295,-6.071517570907046
00-0038621,DeMario Douglas,WR,5.9875,16,12.479999999999999,-6.492499999999999,0.20894023572662113,0.7910597642733789,-6.101363878719765
00-0034983,Hunter Renfrow,WR,5.983333333333334,6,12.479999999999999,-6.496666666666664,0.08654763242240053,0.9134523675775995,-6.33464949877193
00-0039342,Xavier Legette,WR,5.953333333333334,15,12.479999999999999,-6.526666666666665,0.22893221264557884,0.7710677873544212,-6.0981055645941415
00-0038976,Marvin Mims Jr.,WR,5.933333333333334,15,12.479999999999999,-6.546666666666665,0.21469880745884126,0.7853011925411587,-6.144750499103714
00-0037291,Jalen Nailor,WR,5.923529411764706,17,12.479999999999999,-6.5564705882352925,0.1703110755008358,0.8296889244991642,-6.237648254897728
00-0038797,Emanuel Wilson,RB,5.558823529411765,17,12.129411764705884,-6.570588235294118,0.2583848633665627,0.7416151366334374,-6.100479775063072
00-0037838,Isaiah Likely,TE,6.266666666666667,12,12.847058823529412,-6.580392156862746,,,
00-0038393,Dontayvion Wicks,WR,5.8307692307692305,13,12.479999999999999,-6.649230769230768,0.21234922737084974,0.7876507726291503,-6.251713015592538
00-0033858,Jonnu Smith,TE,6.129411764705883,17,12.847058823529412,-6.7176470588235295,,,
00-0040134,Pat Bryant,WR,5.753846153846154,13,12.479999999999999,-6.726153846153845,0.3042326465159421,0.6957673534840578,-6.156630331876001
00-0038951,Sean Tucker,RB,5.376470588235295,17,12.129411764705884,-6.752941176470589,0.17378741748212626,0.8262125825178738,-6.436750304545756
00-0039874,Jaylen Wright,RB,5.355555555555556,9,12.129411764705884,-6.773856209150328,0.2549870826039142,0.7450129173960858,-6.309929711212735
00-0039355,Luke McCaffrey,WR,5.7,9,12.479999999999999,-6.7799999999999985,0.21133094548546932,0.7886690545145307,-6.3843884700512
00-0036972,Mac Jones,QB,14.73090909090909,11,21.520000000000003,-6.789090909090913,0.4042659902170227,0.5957340097829773,-5.484120292670363
00-0037801,KaVontae Turpin,WR,5.633333333333334,15,12.479999999999999,-6.846666666666665,0.19570926850375756,0.8042907314962424,-6.480298916027631
00-0033526,Samaje Perine,RB,5.193333333333333,15,12.129411764705884,-6.93607843137255,0.18189181492831513,0.8181081850716849,-6.605142323388269
00-0037614,John Metchie III,WR,5.5307692307692315,13,12.479999999999999,-6.949230769230767,0.1801057591778562,0.8198942408221438,-6.6120727880498205
00-0039890,Adonai Mitchell,WR,5.49375,16,12.479999999999999,-6.986249999999998,0.24857674472375,0.75142325527625,-6.520914333877139
00-0036290,Cole Kmet,TE,5.85625,16,12.847058823529412,-6.990808823529412,,,
00-0036309,Darnell Mooney,WR,5.486666666666666,15,12.479999999999999,-6.993333333333332,0.1530295746343102,0.8469704253656898,-6.706861969617903
00-0040466,Raheim Sanders,RB,5.075,4,12.129411764705884,-7.0544117647058835,0.2600642201750283,0.7399357798249717,-6.581247862940376
00-0040669,Isaac TeSlaa,WR,5.421428571428572,14,12.479999999999999,-7.058571428571427,0.204364951949498,0.795635048050502,-6.676000238521967
00-0034613,Tanner Hudson,TE,5.7299999999999995,10,12.847058823529412,-7.117058823529413,,,
00-0039356,Ja'Tavion Sanders,TE,5.708333333333333,12,12.847058823529412,-7.138725490196079,,,
00-0026158,Joe Flacco,QB,14.358461538461539,13,21.520000000000003,-7.1615384615384645,0.2976033162520766,0.7023966837479234,-6.200874956676762
00-0038891,Shedrick Jackson,WR,5.3,3,12.479999999999999,-7.179999999999999,0.17517022672144297,0.824829773278557,-6.8520813355774575
00-0034775,Christian Kirk,WR,5.263636363636364,11,12.479999999999999,-7.216363636363635,0.10428261213577235,0.8957173878642276,-7.021146586445469
00-0038128,Malik Willis,QB,14.294999999999998,4,21.520000000000003,-7.225000000000005,0.6016507164457636,0.3983492835542364,-5.28287148731308
00-0038705,Emari Demercado,RB,4.858333333333333,12,12.129411764705884,-7.27107843137255,0.3002713707506515,0.6997286292493485,-6.724761166824453
00-0037329,Brittain Brown,RB,4.85,2,12.129411764705884,-7.279411764705884,0.16696338957939408,0.833036610420606,-6.975636609429963
00-0022942,Philip Rivers,QB,14.219999999999999,3,21.520000000000003,-7.300000000000004,0.1876903868269257,0.8123096131730743,-6.694135431322688
00-0036196,Gabe Davis,WR,5.15,6,12.479999999999999,-7.329999999999998,0.13395508457427233,0.8660449154257277,-7.07923608167696
